Region,Año,Trimestre,Valor_Tasado,Fecha
España,1995,1,670.8,1995-03-31
España,1995,2,686.0,1995-06-30
España,1995,3,682.6,1995-09-30
España,1995,4,692.7,1995-12-31
Madrid,1995,1,1078.4,1995-03-31
Madrid,1995,2,1078.4,1995-06-30
Madrid,1995,3,1086.2,1995-09-30
Madrid,1995,4,1115.0,1995-12-31
España,1996,1,686.0,1996-03-31
España,1996,2,697.8,1996-06-30
España,1996,3,691.0,1996-09-30
España,1996,4,694.4,1996-12-31
Madrid,1996,1,1104.5,1996-03-31
Madrid,1996,2,1070.5,1996-06-30
Madrid,1996,3,1065.3,1996-09-30
Madrid,1996,4,1083.6,1996-12-31
España,1997,1,691.0,1997-03-31
España,1997,2,726.4,1997-06-30
España,1997,3,726.4,1997-09-30
España,1997,4,702.8,1997-12-31
Madrid,1997,1,1054.8,1997-03-31
Madrid,1997,2,1041.7,1997-06-30
Madrid,1997,3,1052.2,1997-09-30
Madrid,1997,4,1065.3,1997-12-31
España,1998,1,716.3,1998-03-31
España,1998,2,761.8,1998-06-30
España,1998,3,777.0,1998-09-30
España,1998,4,756.7,1998-12-31
Madrid,1998,1,1070.5,1998-03-31
Madrid,1998,2,1054.8,1998-06-30
Madrid,1998,3,1062.7,1998-09-30
Madrid,1998,4,1062.7,1998-12-31
España,1999,1,780.3,1999-03-31
España,1999,2,805.6,1999-06-30
España,1999,3,827.5,1999-09-30
España,1999,4,829.2,1999-12-31
Madrid,1999,1,1075.8,1999-03-31
Madrid,1999,2,1104.5,1999-06-30
Madrid,1999,3,1141.2,1999-09-30
Madrid,1999,4,1177.8,1999-12-31
España,2000,1,856.2,2000-03-31
España,2000,2,879.8,2000-06-30
España,2000,3,891.6,2000-09-30
España,2000,4,893.3,2000-12-31
Madrid,2000,1,1201.4,2000-03-31
Madrid,2000,2,1251.1,2000-06-30
Madrid,2000,3,1298.2,2000-09-30
Madrid,2000,4,1253.7,2000-12-31
España,2001,1,930.3,2001-03-31
España,2001,2,962.4,2001-06-30
España,2001,3,982.6,2001-09-30
España,2001,4,992.7,2001-12-31
Madrid,2001,1,1321.8,2001-03-31
Madrid,2001,2,1402.9,2001-06-30
Madrid,2001,3,1465.7,2001-09-30
Madrid,2001,4,1533.8,2001-12-31
España,2002,1,1051.7,2002-03-31
España,2002,2,1117.4,2002-06-30
España,2002,3,1142.7,2002-09-30
España,2002,4,1164.6,2002-12-31
Madrid,2002,1,1612.3,2002-03-31
Madrid,2002,2,1683.0,2002-06-30
Madrid,2002,3,1727.5,2002-09-30
Madrid,2002,4,1868.8,2002-12-31
España,2003,1,1230.3,2003-03-31
España,2003,2,1309.6,2003-06-30
España,2003,3,1344.9,2003-09-30
España,2003,4,1380.3,2003-12-31
Madrid,2003,1,1936.9,2003-03-31
Madrid,2003,2,2018.0,2003-06-30
Madrid,2003,3,2122.7,2003-09-30
Madrid,2003,4,2185.5,2003-12-31
España,2004,1,1456.2,2004-03-31
España,2004,2,1538.8,2004-06-30
España,2004,3,1570.8,2004-09-30
España,2004,4,1618.0,2004-12-31
Madrid,2004,1,2298.1,2004-03-31
Madrid,2004,2,2387.1,2004-06-30
Madrid,2004,3,2423.7,2004-09-30
Madrid,2004,4,2517.9,2004-12-31
España,2005,1,1685.4,2005-03-31
España,2005,2,1752.8,2005-06-30
España,2005,3,1781.5,2005-09-30
España,2005,4,1824.3,2005-12-31
Madrid,2005,1,2617.4,2005-03-31
Madrid,2005,2,2701.2,2005-06-30
Madrid,2005,3,2719.5,2005-09-30
Madrid,2005,4,2784.8,2005-12-31
España,2006,1,1887.6,2006-03-31
España,2006,2,1942.3,2006-06-30
España,2006,3,1956.7,2006-09-30
España,2006,4,1990.5,2006-12-31
Madrid,2006,1,2873.9,2006-03-31
Madrid,2006,2,2902.7,2006-06-30
Madrid,2006,3,2915.8,2006-09-30
Madrid,2006,4,2955.0,2006-12-31
España,2007,1,2024.2,2007-03-31
España,2007,2,2054.5,2007-06-30
España,2007,3,2061.2,2007-09-30
España,2007,4,2085.5,2007-12-31
Madrid,2007,1,3002.2,2007-03-31
Madrid,2007,2,2989.1,2007-06-30
Madrid,2007,3,3004.8,2007-09-30
Madrid,2007,4,3007.4,2007-12-31
España,2008,1,2101.4,2008-03-31
España,2008,2,2095.7,2008-06-30
España,2008,3,2068.7,2008-09-30
España,2008,4,2018.5,2008-12-31
Madrid,2008,1,3004.8,2008-03-31
Madrid,2008,2,2978.6,2008-06-30
Madrid,2008,3,2894.8,2008-09-30
Madrid,2008,4,2778.4,2008-12-31
España,2009,1,1958.1,2009-03-31
España,2009,2,1920.9,2009-06-30
España,2009,3,1896.8,2009-09-30
España,2009,4,1892.3,2009-12-31
Madrid,2009,1,2706.4,2009-03-31
Madrid,2009,2,2665.8,2009-06-30
Madrid,2009,3,2669.7,2009-09-30
Madrid,2009,4,2620.0,2009-12-31
España,2010,1,1865.7,2010-03-31
España,2010,2,1848.9,2010-06-30
España,2010,3,1832.0,2010-09-30
España,2010,4,1825.5,2010-12-31
Madrid,2010,1,2591.2,2010-03-31
Madrid,2010,2,2552.0,2010-06-30
Madrid,2010,3,2507.5,2010-09-30
Madrid,2010,4,2465.6,2010-12-31
España,2011,1,1777.6,2011-03-31
España,2011,2,1752.1,2011-06-30
España,2011,3,1729.3,2011-09-30
España,2011,4,1701.8,2011-12-31
Madrid,2011,1,2360.9,2011-03-31
Madrid,2011,2,2351.5,2011-06-30
Madrid,2011,3,2295.1,2011-09-30
Madrid,2011,4,2260.7,2011-12-31
España,2012,1,1649.3,2012-03-31
España,2012,2,1606.4,2012-06-30
España,2012,3,1565.6,2012-09-30
España,2012,4,1531.2,2012-12-31
Madrid,2012,1,2181.6,2012-03-31
Madrid,2012,2,2116.2,2012-06-30
Madrid,2012,3,2035.8,2012-09-30
Madrid,2012,4,1980.8,2012-12-31
España,2013,1,1516.4,2013-03-31
España,2013,2,1502.8,2013-06-30
España,2013,3,1495.3,2013-09-30
España,2013,4,1466.9,2013-12-31
Madrid,2013,1,1998.6,2013-03-31
Madrid,2013,2,2026.6,2013-06-30
Madrid,2013,3,2042.8,2013-09-30
Madrid,2013,4,2022.4,2013-12-31
España,2014,1,1459.4,2014-03-31
España,2014,2,1459.3,2014-06-30
España,2014,3,1455.8,2014-09-30
España,2014,4,1463.1,2014-12-31
Madrid,2014,1,2010.6,2014-03-31
Madrid,2014,2,2008.1,2014-06-30
Madrid,2014,3,2006.2,2014-09-30
Madrid,2014,4,2033.4,2014-12-31
España,2015,1,1457.9,2015-03-31
España,2015,2,1476.8,2015-06-30
España,2015,3,1476.0,2015-09-30
España,2015,4,1490.1,2015-12-31
Madrid,2015,1,2044.1,2015-03-31
Madrid,2015,2,2078.0,2015-06-30
Madrid,2015,3,2075.7,2015-09-30
Madrid,2015,4,2101.9,2015-12-31
España,2016,1,1492.4,2016-03-31
España,2016,2,1506.4,2016-06-30
España,2016,3,1499.7,2016-09-30
España,2016,4,1512.0,2016-12-31
Madrid,2016,1,2129.6,2016-03-31
Madrid,2016,2,2178.2,2016-06-30
Madrid,2016,3,2165.4,2016-09-30
Madrid,2016,4,2203.3,2016-12-31
España,2017,1,1525.8,2017-03-31
España,2017,2,1530.0,2017-06-30
España,2017,3,1540.0,2017-09-30
España,2017,4,1558.7,2017-12-31
Madrid,2017,1,2234.5,2017-03-31
Madrid,2017,2,2263.6,2017-06-30
Madrid,2017,3,2305.2,2017-09-30
Madrid,2017,4,2354.9,2017-12-31
España,2018,1,1566.6,2018-03-31
España,2018,2,1587.9,2018-06-30
España,2018,3,1589.5,2018-09-30
España,2018,4,1618.8,2018-12-31
Madrid,2018,1,2413.2,2018-03-31
Madrid,2018,2,2481.5,2018-06-30
Madrid,2018,3,2496.7,2018-09-30
Madrid,2018,4,2546.0,2018-12-31
España,2019,1,1636.3,2019-03-31
España,2019,2,1637.4,2019-06-30
España,2019,3,1638.3,2019-09-30
España,2019,4,1652.8,2019-12-31
Madrid,2019,1,2612.7,2019-03-31
Madrid,2019,2,2610.3,2019-06-30
Madrid,2019,3,2611.1,2019-09-30
Madrid,2019,4,2671.7,2019-12-31
España,2020,1,1640.4,2020-03-31
España,2020,2,1610.1,2020-06-30
España,2020,3,1619.6,2020-09-30
España,2020,4,1622.3,2020-12-31
Madrid,2020,1,2637.2,2020-03-31
Madrid,2020,2,2589.0,2020-06-30
Madrid,2020,3,2610.3,2020-09-30
Madrid,2020,4,2573.6,2020-12-31
España,2021,1,1625.4,2021-03-31
España,2021,2,1649.2,2021-06-30
España,2021,3,1661.6,2021-09-30
España,2021,4,1694.1,2021-12-31
Madrid,2021,1,2598.6,2021-03-31
Madrid,2021,2,2661.4,2021-06-30
Madrid,2021,3,2684.9,2021-09-30
Madrid,2021,4,2760.1,2021-12-31
España,2022,1,1734.0,2022-03-31
España,2022,2,1740.7,2022-06-30
España,2022,3,1740.0,2022-09-30
España,2022,4,1749.2,2022-12-31
Madrid,2022,1,2846.2,2022-03-31
Madrid,2022,2,2899.7,2022-06-30
Madrid,2022,3,2873.9,2022-09-30
Madrid,2022,4,2888.1,2022-12-31
España,2023,1,1788.4,2023-03-31
España,2023,2,1793.2,2023-06-30
España,2023,3,1812.4,2023-09-30
España,2023,4,1842.3,2023-12-31
Madrid,2023,1,2978.3,2023-03-31
Madrid,2023,2,2978.6,2023-06-30
Madrid,2023,3,3008.1,2023-09-30
Madrid,2023,4,3080.0,2023-12-31
España,2024,1,1865.8,2024-03-31
España,2024,2,1895.6,2024-06-30
