Latitude,Longitude,Price,Rooms,Bathrooms,Surface,Floor,Elevator,Air_Conditioner,Heater,Parking,Balcony,Terrace,Swimming_Pool,log_price,log_surface
40.402584,-3.6729107,445000,2,2,102,0,1,1,1,0,0,0,1,13.005829561148378,4.624972813284271
40.423885,-3.6215432,108000,3,1,53,6,0,0,0,0,0,0,0,11.589886506106357,3.970291913552122
40.42368,-3.6215098,108000,3,1,53,0,0,0,0,0,0,0,0,11.589886506106357,3.970291913552122
40.407387,-3.701162,235000,2,1,68,0,0,1,1,0,0,0,0,12.367340793126296,4.219507705176107
40.420685,-3.688424,2350000,2,2,177,7,1,1,0,0,1,0,0,14.669925886120343,5.176149732573829
40.436382,-3.698839,1100000,4,2,167,10,1,1,0,0,0,0,0,13.9108207377686,5.117993812416755
40.38752,-3.7417324,139000,2,1,70,9,0,1,1,0,0,1,0,11.842229212112828,4.248495242049359
40.365944,-3.620429,311000,3,2,103,3,1,1,1,0,0,1,1,12.647548191161372,4.634728988229636
40.36765,-3.622936,311000,3,2,103,3,1,0,1,0,0,0,1,12.647548191161372,4.634728988229636
40.386314,-3.7112668,172000,3,1,90,6,0,0,0,0,0,0,0,12.05524975579559,4.499809670330265
40.43392,-3.705483,760000,3,2,138,6,1,1,0,0,0,1,0,13.541073712262515,4.927253685157205
40.434944,-3.674237,550000,1,2,91,11,1,1,1,0,0,0,0,13.217673557208654,4.51085950651685
40.433132,-3.717794,950000,6,3,244,7,1,1,1,0,1,0,0,13.764217263576723,5.497168225293202
40.427868,-3.7083042,700000,3,2,115,7,1,1,1,0,0,0,0,13.458835614025542,4.74493212836325
40.459015,-3.7026198,300000,3,1,84,3,0,0,1,0,0,0,0,12.611537753638338,4.430816798843313
40.46544,-3.7105513,525000,2,1,78,21,1,1,1,0,0,1,1,13.17115354157376,4.356708826689592
40.461243,-3.5801938,490000,3,3,158,10,1,1,1,0,1,1,1,13.102160670086809,5.062595033026967
40.44944,-3.6164138,890000,5,3,334,0,0,1,1,0,1,1,0,13.698976741708323,5.811140992976701
40.366096,-3.686513,249000,4,2,144,0,1,0,0,1,1,0,0,12.425208175446844,4.969813299576001
40.435013,-3.6728847,300000,2,1,59,12,1,1,1,0,0,0,0,12.611537753638338,4.07753744390572
40.43211,-3.675953,895000,5,2,181,6,1,0,1,0,0,0,0,13.704578997256993,5.198497031265826
40.39114,-3.7153707,235000,2,1,75,8,0,1,1,0,0,1,0,12.367340793126296,4.31748811353631
40.41559,-3.7238894,720000,6,3,250,0,1,0,0,0,0,1,0,13.487006490992238,5.521460917862246
40.437138,-3.671019,550000,3,2,130,7,1,1,1,1,1,0,0,13.217673557208654,4.867534450455582
40.4155,-3.7037456,365000,2,1,76,10,1,1,1,0,0,0,0,12.80765263256463,4.330733340286331
40.35172,-3.6961312,119000,3,1,56,8,0,0,1,0,0,1,0,11.686878772093667,4.02535169073515
40.43469,-3.6699998,260000,2,1,62,7,0,0,0,0,1,0,0,12.468436909997665,4.127134385045092
40.396152,-3.7601001,145000,3,1,64,8,0,0,0,0,0,0,0,11.884489021402711,4.1588830833596715
40.35127,-3.7107656,159000,3,1,109,0,1,0,0,0,1,0,0,11.976659481202368,4.6913478822291435
40.386906,-3.710795,170000,2,1,70,8,0,1,1,0,0,0,0,12.043553716032399,4.248495242049359
40.386673,-3.7310152,159000,3,1,88,7,0,0,1,0,0,1,0,11.976659481202368,4.477336814478207
40.34762,-3.6904967,125000,3,1,70,6,0,1,0,0,0,1,0,11.736069016284437,4.248495242049359
40.378666,-3.7397459,359000,4,2,118,7,1,1,1,1,1,0,1,12.791077667470416,4.770684624465665
40.385815,-3.641311,194000,2,1,84,16,1,0,1,0,0,0,0,12.175613438045465,4.430816798843313
40.47441,-3.6433,202000,3,1,90,0,1,0,1,0,0,1,0,12.216022976383341,4.499809670330265
40.41867,-3.7072,330000,1,1,48,8,1,1,0,0,1,0,0,12.706847933442663,3.871201010907891
