Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha
Alcalá De Henares,2328.0,1161,T1A2005,1,2005,3,2005-03-31
Alcobendas,3256.2,470,T1A2005,1,2005,3,2005-03-31
Alcorcón,2645.0,652,T1A2005,1,2005,3,2005-03-31
Aranjuez,2069.0,305,T1A2005,1,2005,3,2005-03-31
Arganda Del Rey,2013.8,356,T1A2005,1,2005,3,2005-03-31
Boadilla Del Monte,2615.3,241,T1A2005,1,2005,3,2005-03-31
Collado Villalba,2406.8,402,T1A2005,1,2005,3,2005-03-31
Colmenar Viejo,2399.5,221,T1A2005,1,2005,3,2005-03-31
Coslada,2615.7,396,T1A2005,1,2005,3,2005-03-31
Fuenlabrada,2189.7,1106,T1A2005,1,2005,3,2005-03-31
Galapagar,2214.8,300,T1A2005,1,2005,3,2005-03-31
Getafe,2521.4,667,T1A2005,1,2005,3,2005-03-31
Leganés,2503.8,779,T1A2005,1,2005,3,2005-03-31
Madrid,3342.8,13970,T1A2005,1,2005,3,2005-03-31
Majadahonda,3057.1,298,T1A2005,1,2005,3,2005-03-31
Móstoles,2250.8,1116,T1A2005,1,2005,3,2005-03-31
Parla,2133.6,750,T1A2005,1,2005,3,2005-03-31
Pinto,2446.1,340,T1A2005,1,2005,3,2005-03-31
Pozuelo De Alarcón,3122.3,293,T1A2005,1,2005,3,2005-03-31
Rivas-Vaciamadrid,2299.8,321,T1A2005,1,2005,3,2005-03-31
Las Rozas de Madrid,2713.0,421,T1A2005,1,2005,3,2005-03-31
San Fernando De Henares,2539.6,213,T1A2005,1,2005,3,2005-03-31
San Sebastián De Los Reyes,2866.7,331,T1A2005,1,2005,3,2005-03-31
Torrejón De Ardoz,2270.6,816,T1A2005,1,2005,3,2005-03-31
Tres Cantos,2781.6,107,T1A2005,1,2005,3,2005-03-31
Valdemoro,2068.5,449,T1A2005,1,2005,3,2005-03-31
Villaviciosa De Odón,2363.1,90,T1A2005,1,2005,3,2005-03-31
Alcalá De Henares,2407.3,1082,T2A2005 ,2,2005,6,2005-06-30
Alcobendas,3321.8,373,T2A2005 ,2,2005,6,2005-06-30
Alcorcón,2749.3,558,T2A2005 ,2,2005,6,2005-06-30
Aranjuez,2080.5,401,T2A2005 ,2,2005,6,2005-06-30
Arganda Del Rey,2131.6,291,T2A2005 ,2,2005,6,2005-06-30
Boadilla Del Monte,2650.1,195,T2A2005 ,2,2005,6,2005-06-30
Collado Villalba,2607.7,569,T2A2005 ,2,2005,6,2005-06-30
Colmenar Viejo,2464.6,202,T2A2005 ,2,2005,6,2005-06-30
Coslada,2692.0,338,T2A2005 ,2,2005,6,2005-06-30
Fuenlabrada,2310.1,1103,T2A2005 ,2,2005,6,2005-06-30
Galapagar,2212.0,262,T2A2005 ,2,2005,6,2005-06-30
Getafe,2817.2,866,T2A2005 ,2,2005,6,2005-06-30
Leganés,2620.9,717,T2A2005 ,2,2005,6,2005-06-30
Madrid,3504.7,14109,T2A2005 ,2,2005,6,2005-06-30
Majadahonda,3133.5,251,T2A2005 ,2,2005,6,2005-06-30
Móstoles,2313.9,906,T2A2005 ,2,2005,6,2005-06-30
Parla,2259.8,664,T2A2005 ,2,2005,6,2005-06-30
Pinto,2476.5,272,T2A2005 ,2,2005,6,2005-06-30
Pozuelo De Alarcón,3266.0,276,T2A2005 ,2,2005,6,2005-06-30
Rivas-Vaciamadrid,2337.6,282,T2A2005 ,2,2005,6,2005-06-30
Las Rozas de Madrid,2875.0,410,T2A2005 ,2,2005,6,2005-06-30
San Fernando De Henares,2629.6,215,T2A2005 ,2,2005,6,2005-06-30
San Sebastián De Los Reyes,2935.1,329,T2A2005 ,2,2005,6,2005-06-30
Torrejón De Ardoz,2363.7,634,T2A2005 ,2,2005,6,2005-06-30
Tres Cantos,3076.9,120,T2A2005 ,2,2005,6,2005-06-30
Valdemoro,2138.9,925,T2A2005 ,2,2005,6,2005-06-30
Villaviciosa De Odón,2586.6,93,T2A2005 ,2,2005,6,2005-06-30
Alcalá De Henares,2525.5,523,T3A2005 ,3,2005,9,2005-09-30
Alcobendas,3261.3,182,T3A2005 ,3,2005,9,2005-09-30
Alcorcón,2823.9,323,T3A2005 ,3,2005,9,2005-09-30
Aranjuez,1890.5,361,T3A2005 ,3,2005,9,2005-09-30
Arganda Del Rey,2070.7,143,T3A2005 ,3,2005,9,2005-09-30
Boadilla Del Monte,2717.1,88,T3A2005 ,3,2005,9,2005-09-30
Collado Villalba,2583.0,312,T3A2005 ,3,2005,9,2005-09-30
Colmenar Viejo,2683.6,118,T3A2005 ,3,2005,9,2005-09-30
Coslada,2662.0,185,T3A2005 ,3,2005,9,2005-09-30
Fuenlabrada,2356.1,463,T3A2005 ,3,2005,9,2005-09-30
Galapagar,2300.0,118,T3A2005 ,3,2005,9,2005-09-30
Getafe,2734.8,358,T3A2005 ,3,2005,9,2005-09-30
Leganés,2709.1,317,T3A2005 ,3,2005,9,2005-09-30
Madrid,3564.6,6816,T3A2005 ,3,2005,9,2005-09-30
Majadahonda,3263.9,151,T3A2005 ,3,2005,9,2005-09-30
Móstoles,2327.1,476,T3A2005 ,3,2005,9,2005-09-30
Parla,2256.6,381,T3A2005 ,3,2005,9,2005-09-30
Pinto,2534.3,112,T3A2005 ,3,2005,9,2005-09-30
Pozuelo De Alarcón,3163.2,116,T3A2005 ,3,2005,9,2005-09-30
