Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha,Valor_Tasado_Madrid,Valor_Tasado_España,Dif_Madrid,Dif_España,Pct_Madrid,Pct_España
Alcalá De Henares,2328.0,1161,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-289.4000000000001,642.5999999999999,-11.05677389776114,38.127447490210045
Alcobendas,3256.2,470,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,638.7999999999997,1570.7999999999997,24.405898983724295,93.20042719829118
Alcorcón,2645.0,652,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,27.59999999999991,959.5999999999999,1.0544815465729274,56.93603892251098
Aranjuez,2069.0,305,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-548.4000000000001,383.5999999999999,-20.952089860166577,22.760175625964152
Arganda Del Rey,2013.8,356,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-603.6000000000001,328.39999999999986,-23.061052953312455,19.484988726711762
Boadilla Del Monte,2615.3,241,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-2.099999999999909,929.9000000000001,-0.0802322915870679,55.17384597128279
Collado Villalba,2406.8,402,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-210.5999999999999,721.4000000000001,-8.046152670589136,42.802895455084844
Colmenar Viejo,2399.5,221,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-217.9000000000001,714.0999999999999,-8.325055398487047,42.369763854277906
Coslada,2615.7,396,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-1.7000000000002728,930.2999999999997,-0.0649499503324047,55.197579209683134
Fuenlabrada,2189.7,1106,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-427.7000000000003,504.2999999999997,-16.340643386566832,29.92168031327873
Galapagar,2214.8,300,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-402.5999999999999,529.4000000000001,-15.381676472835636,31.410941022902584
Getafe,2521.4,667,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-96.0,836.0,-3.6677619011232565,49.60246825679364
Leganés,2503.8,779,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-113.59999999999991,818.4000000000001,-4.340184916329182,48.55820576717693
Madrid,3342.8,13970,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,725.4000000000001,1657.4,27.71452586536258,98.33867331197341
Majadahonda,3057.1,298,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,439.6999999999998,1371.6999999999998,16.79911362420723,81.38720778450217
Móstoles,2250.8,1116,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-366.5999999999999,565.4000000000001,-14.006265759914417,33.54693247893677
Parla,2133.6,750,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-483.8000000000002,448.1999999999998,-18.483991747535732,26.593093627625475
Pinto,2446.1,340,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-171.30000000000018,760.6999999999998,-6.544662642316812,45.13468612792215
Pozuelo De Alarcón,3122.3,293,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,504.9000000000001,1436.9,19.290135248720098,85.2557256437641
Rivas-Vaciamadrid,2299.8,321,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-317.5999999999999,614.4000000000001,-12.13417895621609,36.45425418298327
Rozas De Madrid (Las),2713.0,421,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,95.59999999999991,1027.6,3.65247955986856,60.970689450575534
San Fernando De Henares,2539.6,213,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-77.80000000000018,854.1999999999998,-2.9724153740353088,50.68233060401091
San Sebastián De Los Reyes,2866.7,331,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,249.29999999999973,1181.2999999999997,9.524719186979436,70.09018630592143
Torrejón De Ardoz,2270.6,816,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-346.8000000000002,585.1999999999998,-13.24978986780776,34.721727779755525
Tres Cantos,2781.6,107,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,164.19999999999982,1096.1999999999998,6.273401085046215,65.04093983624064
Valdemoro,2068.5,449,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-548.9000000000001,383.0999999999999,-20.971192786734928,22.730509077963678
Villaviciosa De Odón,2363.1,90,T1A2005,1,2005,3,2005-03-31,2617.4,1685.4,-254.30000000000018,677.6999999999998,-9.715748452662954,40.21003915984336
Alcalá De Henares,2407.3,1082,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-293.89999999999964,654.5000000000002,-10.880349474307705,37.340255591054316
Alcobendas,3321.8,373,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,620.6000000000004,1569.0000000000002,22.974974085591594,89.51392058420812
Alcorcón,2749.3,558,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,48.100000000000364,996.5000000000002,1.7806900636754275,56.85189411227751
Aranjuez,2080.5,401,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-620.6999999999998,327.70000000000005,-22.978676143936028,18.695801004107725
Arganda Del Rey,2131.6,291,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-569.5999999999999,378.79999999999995,-21.086924329927438,21.6111364673665
Boadilla Del Monte,2650.1,195,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-51.09999999999991,897.3,-1.891751814008591,51.192377909630316
Collado Villalba,2607.7,569,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-93.5,854.8999999999999,-3.46142455205094,48.7733911455956
